date,close
2019-01-02,2969.54
2019-01-03,2964.84
2019-01-04,3035.87
2019-01-07,3054.3
2019-01-08,3047.7
2019-01-09,3078.48
2019-01-10,3072.69
2019-01-11,3094.78
2019-01-14,3067.78
2019-01-15,3127.99
2019-01-16,3128.65
2019-01-17,3111.42
2019-01-18,3168.17
2019-01-21,3185.64
2019-01-22,3143.32
2019-01-23,3141.05
2019-01-24,3158.78
2019-01-25,3184.47
2019-01-28,3183.78
2019-01-29,3193.97
2019-01-30,3168.48
2019-01-31,3201.63
2019-02-01,3247.4
2019-02-11,3306.47
2019-02-12,3330.34
2019-02-13,3397.03
2019-02-14,3402.14
2019-02-15,3338.7
2019-02-18,3445.74
2019-02-19,3439.61
2019-02-20,3451.93
2019-02-21,3442.71
2019-02-22,3520.12
2019-02-25,3729.48
2019-02-26,3684.69
2019-02-27,3678.39
2019-02-28,3669.37
2019-03-01,3749.71
2019-03-04,3794.1
2019-03-05,3816.01
2019-03-06,3848.09
2019-03-07,3808.85
2019-03-08,3657.58
2019-03-11,3729.95
2019-03-12,3755.35
2019-03-13,3724.19
2019-03-14,3698.49
2019-03-15,3745.01
2019-03-18,3851.75
2019-03-19,3833.96
2019-03-20,3835.44
2019-03-21,3836.89
2019-03-22,3833.8
2019-03-25,3742.83
2019-03-26,3700.44
2019-03-27,3743.39
2019-03-28,3728.4
2019-03-29,3872.34
2019-04-01,3973.93
2019-04-02,3971.29
2019-04-03,4022.16
2019-04-04,4062.23
2019-04-08,4057.23
2019-04-09,4075.43
2019-04-10,4085.85
2019-04-11,3997.58
2019-04-12,3988.62
2019-04-15,3975.52
2019-04-16,4085.79
2019-04-17,4087.24
2019-04-18,4072.08
2019-04-19,4120.61
2019-04-22,4025.61
2019-04-23,4019.01
2019-04-24,4030.09
2019-04-25,3941.82
2019-04-26,3889.27
2019-04-29,3900.33
2019-04-30,3913.21
2019-05-06,3684.62
2019-05-07,3720.67
2019-05-08,3667.46
2019-05-09,3599.7
2019-05-10,3730.45
2019-05-13,3668.73
2019-05-14,3645.15
2019-05-15,3727.09
2019-05-16,3743.96
2019-05-17,3648.76
2019-05-20,3617.79
2019-05-21,3666.78
2019-05-22,3649.38
2019-05-23,3583.96
2019-05-24,3593.91
2019-05-27,3637.2
2019-05-28,3672.26
2019-05-29,3663.91
2019-05-30,3641.18
2019-05-31,3629.79
2019-06-03,3632.01
2019-06-04,3598.47
2019-06-05,3597.11
2019-06-06,3564.68
2019-06-10,3610.74
2019-06-11,3719.28
2019-06-12,3691.1
2019-06-13,3685.39
2019-06-14,3654.88
2019-06-17,3654.82
2019-06-18,3667.62
2019-06-19,3715.94
2019-06-20,3828.52
2019-06-21,3833.94
2019-06-24,3841.27
2019-06-25,3801.31
2019-06-26,3794.33
2019-06-27,3834.82
2019-06-28,3825.59
2019-07-01,3935.81
2019-07-02,3937.17
2019-07-03,3893.53
2019-07-04,3873.1
2019-07-05,3893.2
2019-07-08,3802.79
2019-07-09,3793.13
2019-07-10,3786.74
2019-07-11,3785.22
2019-07-12,3808.73
2019-07-15,3824.19
2019-07-16,3806.84
2019-07-17,3804.64
2019-07-18,3768.4
2019-07-19,3807.96
2019-07-22,3781.68
2019-07-23,3789.91
2019-07-24,3819.83
2019-07-25,3851.07
2019-07-26,3858.57
2019-07-29,3854.27
2019-07-30,3870.32
2019-07-31,3835.36
2019-08-01,3803.47
2019-08-02,3747.44
2019-08-05,3675.69
2019-08-06,3636.33
2019-08-07,3621.43
2019-08-08,3669.29
2019-08-09,3633.53
2019-08-12,3699.1
2019-08-13,3665.75
2019-08-14,3682.4
2019-08-15,3694.0
2019-08-16,3710.54
2019-08-19,3791.09
2019-08-20,3787.73
2019-08-21,3781.76
2019-08-22,3793.51
2019-08-23,3820.86
2019-08-26,3765.91
2019-08-27,3816.95
2019-08-28,3802.58
2019-08-29,3790.19
2019-08-30,3799.59
2019-09-02,3848.32
2019-09-03,3853.61
2019-09-04,3886.0
2019-09-05,3925.32
2019-09-06,3948.51
