date,portfolio_return,market_return
2019-01-03,-0.018276476472622365,-0.0015839905711133
2019-01-04,0.01973415414931104,0.023674971024128
2019-01-07,0.005450613331837899,0.0060523946818614
2019-01-08,0.00471158100728724,-0.0021632260156508
2019-01-09,0.013913234112599161,0.0100487608940959
2019-01-10,0.016966732260988604,-0.0018825692380513
2019-01-11,0.00632803582489568,0.0071634217796169
2019-01-14,-0.0084629284135531,-0.0087626482383257
2019-01-15,0.02440249882339546,0.0194364527662002
2019-01-16,0.00216722408837854,0.0002109758600298
2019-01-17,-0.004524869137163561,-0.0055223879822679
2019-01-18,0.023343457159188237,0.0180749205038381
2019-01-21,0.005445757161548541,0.0054990766246236
2019-01-22,-0.013143348884428821,-0.0133736445665198
2019-01-23,0.0020788614648663,-0.0007224272596064
2019-01-24,0.01103969357705598,0.0056287381758412
2019-01-25,0.01158244835212568,0.00809999305078
2019-01-28,-0.0026029367463155017,-0.0002167000361794
2019-01-29,0.010379392511857462,0.0031954870200165
2019-01-30,-0.00654599613112834,-0.0080126795111305
2019-01-31,0.01821524727843558,0.01040807749184
2019-02-01,0.01242111039048366,0.0141946210526035
2019-02-11,0.022217863333011702,0.0180264788825872
2019-02-12,0.0027397607233780406,0.0071932458289255
2019-02-13,0.014803020493916862,0.0198271195788158
2019-02-14,-0.00289023609786124,0.0015031249291077
2019-02-15,-0.01604237958584654,-0.0188231357249612
2019-02-18,0.031190136961338745,0.0315571757970408
2019-02-19,-0.0060416352910469,-0.0017805925972104
2019-02-20,0.010661006695997422,0.0035754020507433
2019-02-21,-0.0014830185907507801,-0.0026745429771607
2019-02-22,0.0164079225334324,0.0222361279992499
2019-02-25,0.035151822493110566,0.0577737338115383
2019-02-26,-0.007167008817181959,-0.0120824164773387
2019-02-27,-0.00039980801545593973,-0.0017112408224225
2019-02-28,0.01273508096732968,-0.0024551712442826
2019-03-01,0.01701146449496046,0.0216585184531005
2019-03-04,-7.548392262009992e-05,0.0117687249132934
2019-03-05,0.0021426024282035607,0.0057581455557765
2019-03-06,-0.0096305342868594,0.0083715471756558
2019-03-07,-0.018934836956997023,-0.0102496149971047
2019-03-08,-0.01218669379678384,-0.0405255797693182
2019-03-11,0.01192019657522462,0.0195931022032286
2019-03-12,0.0009127627854682399,0.0067866611868565
2019-03-13,-0.00211556485865284,-0.0083321114055107
2019-03-14,0.009108777108811061,-0.0069247502781945
2019-03-15,0.01631586260314152,0.0124996589492945
2019-03-18,0.033323308783048566,0.0281033032871602
2019-03-19,-0.012182188618677122,-0.0046293788788977
2019-03-20,0.0016964928539848403,0.0003859493619766
2019-03-21,-0.0040272881195181805,0.0003779816606592
2019-03-22,0.0184515513416246,-0.0008056642015624
2019-03-25,-0.03228366923864094,-0.0240144686448772
2019-03-26,-0.009471957665371601,-0.011390278278242
2019-03-27,0.01991139987927206,0.011539886492012
2019-03-28,0.015585670985582,-0.0040124307859506
2019-03-29,0.035640243154625655,0.0378797882717558
2019-04-01,0.013168775708285861,0.0258965540036548
2019-04-02,-0.0053351408495833,-0.0006645505340715
2019-04-03,0.0071920712390667,0.0127280928163865
2019-04-04,0.0105513808190247,0.0099130121461378
2019-04-08,-0.0016244087929453998,-0.0012316091543096
2019-04-09,-0.0028842931298174797,0.0044757878438008
2019-04-10,0.013607067892965901,0.0025535224038254
2019-04-11,-0.0202784477578827,-0.0218406069685031
2019-04-12,0.00430971877827268,-0.0022438716184008
2019-04-15,-0.00844854860167376,-0.0032897492546605
2019-04-16,0.03243199820706214,0.0273595429068387
2019-04-17,0.00368591247617364,0.0003548255702507
2019-04-18,-0.008849295750650441,-0.0037160002169135
2019-04-19,0.010306417362729341,0.0118472852336641
2019-04-22,-0.02104538801245638,-0.0233247584717276
2019-04-23,0.01322398420304978,-0.0016408485374848
2019-04-24,0.005404848098249581,0.0027531045703201
2019-04-25,-0.00530462678838072,-0.022146162627902
2019-04-26,-0.01988012595388962,-0.0134210662360184
2019-04-29,0.021774028406848982,0.0028396855890284
2019-04-30,-0.0025203046746292194,0.0032968441106726
2019-05-06,-0.04787238216514261,-0.0601906094870573
2019-05-07,0.00732716019648508,0.0097363600303719
2019-05-08,-0.01990680803405852,-0.0144044352311348
2019-05-09,-0.018352055417528598,-0.0186488157070728
2019-05-10,0.0380181652967816,0.0356783611542102
2019-05-13,-0.021501610356115624,-0.0166833166791565
2019-05-14,-0.01069900584240888,-0.0064480362541046
2019-05-15,0.030132041352079045,0.0222302514366938
2019-05-16,-0.0108512447560691,0.0045161064836313
2019-05-17,-0.02274156741098562,-0.0257564909505469
2019-05-20,-0.0280302154248553,-0.0085240416762512
2019-05-21,0.01916840829217788,0.013450550572702
2019-05-22,-0.0016772203248655998,-0.004756602591148
2019-05-23,-0.02504268576575252,-0.0180889558162287
2019-05-24,0.011737986824406622,0.0027724119754735
2019-05-27,0.00734651781712998,0.0119734085580299
2019-05-28,0.018588365596524423,0.0095931214822076
2019-05-29,-0.00042660056242009933,-0.002276393160405
2019-05-30,0.00053580768677438,-0.0062230782522275
2019-05-31,-0.00317356353984056,-0.0031330095755531
2019-06-03,0.008931195380610761,0.0006114186755788
2019-06-04,-0.01054771390320478,-0.0092774589152538
2019-06-05,-0.005935078224005021,-0.0003780098383157
2019-06-06,-0.01285823214213142,-0.0090564570190309
2019-06-10,0.019634440647494863,0.012838449220963
2019-06-11,0.02448299615216576,0.0296173636774682
2019-06-12,-0.0013896714827035803,-0.0076055845554518
2019-06-13,-0.0029597602545114203,-0.0015481621043288
2019-06-14,-0.0008090983462639597,-0.0083130935798491
2019-06-17,-0.0006830151388980595,-1.6416542402959227e-05
2019-06-18,0.009667020333837041,0.0034961059530988
2019-06-19,0.02580232804932778,0.0130887240911474
2019-06-20,0.0271928019555489,0.0298466311081897
2019-06-21,-0.001775315217685721,0.0014146895132741
2019-06-24,0.0028569144759448,0.0019100460387371
2019-06-25,-0.01463824698067792,-0.0104572969211136
2019-06-26,0.0035391185867724197,-0.0018378969948
2019-06-27,0.02188104301500604,0.0106146504313997
2019-06-28,-0.00697622845734486,-0.0024097938534966
2019-07-01,0.039252466124789706,0.0284040019176794
2019-07-02,0.0017744589958999394,0.0003454854485918
2019-07-03,-0.02272830276182522,-0.0111459899608999
2019-07-04,-0.010927068705131321,-0.0052609811775873
2019-07-05,0.011554463817394141,0.005176221592961
2019-07-08,-0.01688237170914468,-0.0234964337122376
2019-07-09,-0.0032814884719430002,-0.0025434720765215
2019-07-10,0.006458371029422761,-0.0016860451468861
2019-07-11,-0.0024754751855022,-0.0004014812599161
2019-07-12,0.0024939811800215,0.0061917908627317
2019-07-15,0.00698928474390928,0.0040508799099335
2019-07-16,-0.005626808060318521,-0.004547231473586
2019-07-17,0.00302593876548366,-0.0005780741882694
2019-07-18,-0.00865568384334768,-0.0095708662930743
2019-07-19,0.0083431398153938,0.0104431044798931
2019-07-22,0.00097275824676668,-0.006925257332506
2019-07-23,-0.00024266801754575999,0.0021739167707678
2019-07-24,0.010275567696806862,0.0078636468998812
2019-07-25,0.012645282232511601,0.0081451127540164
2019-07-26,0.0022744883778502,0.0019456167514669
2019-07-29,-0.00183833940112924,-0.0011150238940541
2019-07-30,0.0002989795146792402,0.0041555663399408
2019-07-31,-0.00231975579047252,-0.0090738883188193
2019-08-01,-0.00427156072546598,-0.0083494946909156
2019-08-02,-0.014665624856826239,-0.0148408677593862
2019-08-05,-0.02266227043316462,-0.0193320700496033
2019-08-06,0.0025432809495579403,-0.0107659388702733
2019-08-07,0.00021513368717808026,-0.0041059558136657
2019-08-08,0.023727272693944677,0.0131292074010025
2019-08-09,-0.008568372473781902,-0.0097935553176569
2019-08-12,0.02799899156222618,0.0178849192760353
2019-08-13,-0.006094525183277419,-0.009056593943448
2019-08-14,0.013282600019245581,0.0045317606458431
2019-08-15,0.012693137253036781,0.0031451682561536
2019-08-16,0.00259673037752856,0.0044675368111963
2019-08-19,0.0173279100093452,0.0214761581020327
2019-08-20,0.01225576926396074,-0.0008866816259358
2019-08-21,-0.0043383745883168205,-0.0015773853292233
2019-08-22,-0.00042902209647288023,0.0031022021454453
2019-08-23,0.0334239342650705,0.0071838162898168
2019-08-26,-0.018507820739293402,-0.0144859962560326
2019-08-27,0.00187036040742292,0.0134621424703102
2019-08-28,-0.0026043180413883,-0.0037718906643898
2019-08-29,-0.0022380993347542403,-0.0032636339563747
2019-08-30,0.012054784956996762,0.0024770164105489
2019-09-02,0.00538672371289818,0.0127435232545699
2019-09-03,0.0032840681935441,0.0013736818776211
2019-09-04,-0.00175734707675258,0.0083699796486149
2019-09-05,0.00920094593259766,0.0100675256182631
2019-09-06,0.00785792640901132,0.0058904159860995
2019-09-09,-0.00198793814101022,0.0061705992452581
2019-09-10,-0.00784126605907188,-0.0034492269661625
2019-09-11,-0.02273812677915308,-0.0073947939886416
2019-09-12,0.01229943189150306,0.0107005404446234
2019-09-16,0.01090704798722332,-0.0036973094160976
2019-09-17,-0.0032271634439098003,-0.0169453687395115
2019-09-18,0.01712680254038744,0.0048351010069413
2019-09-19,-0.0010644442635339602,0.0036505428276353
2019-09-20,0.0106136466872024,0.0028676754982601
2019-09-23,-0.0062008612845143,-0.0114972434234081
2019-09-24,0.0058967778839438,0.0026746288278979
2019-09-25,-0.0058443585903000805,-0.0077457329178532
2019-09-26,-0.0028410584156261997,-0.0077385074175801
2019-09-27,0.009481581648422182,0.0029920256691871
2019-09-30,-0.01493456711549506,-0.0099437639662385
2019-10-08,-0.00277990262175388,0.0060505581068235
2019-10-09,-0.005791435182938961,0.0014477434919588
2019-10-10,0.01922002025828486,0.0081369944210284
2019-10-11,0.01190162275799882,0.0095269761220514
2019-10-14,0.01265593545663778,0.0105557644680238
2019-10-15,0.0045160199478278,-0.0043070024207096
2019-10-16,-0.0067954178799781405,-0.0034508504852955
2019-10-17,0.011931248227209321,0.0006447576711878
2019-10-18,-0.0128674666587887,-0.0143281131301125
2019-10-21,-0.004372514429389321,0.0029573375600386
2019-10-22,0.007404120594113001,0.0038679594356627
2019-10-23,-0.0016966249542331,-0.0063860466081705
2019-10-24,0.0032309322196780797,-0.0001059192044133
2019-10-25,0.022267320618344542,0.0067255186267377
2019-10-28,0.00960129183627068,0.0076182274479942
2019-10-29,0.009227951426483721,-0.0041751689500763
2019-10-30,-0.00235226256087376,-0.0048708927727663
2019-10-31,-0.010913533318772182,-0.0011519701761708
2019-11-01,0.015543936253128181,0.0167471263794681
2019-11-04,0.0038542324394639795,0.0064888866621359
2019-11-05,0.01185228295776386,0.0061872685929501
2019-11-06,-0.0026907588311288404,-0.0044894156169552
2019-11-07,7.656758923487996e-05,0.0017525939233894
2019-11-08,0.00045428485906298004,-0.0047357989697269
2019-11-11,-0.012916450669338901,-0.0177836298970129
2019-11-12,0.00046228972141510046,0.0001818957383769
2019-11-13,0.01172722274482974,-0.0009508347430154
2019-11-14,0.004801465688435601,0.0015065646009067
2019-11-15,-0.00879036165795432,-0.0073931172737521
2019-11-18,0.00334121980656606,0.0079229498002019
2019-11-19,0.013679329994193261,0.009958108863878
2019-11-20,-0.0099560060475155,-0.0099760213205846
2019-11-21,-0.00678985598719778,-0.0046835850082514
2019-11-22,-0.023795780714167124,-0.0102357736859996
2019-11-25,-0.0017699131097812203,0.0073031560851403
2019-11-26,0.0035000186677126,0.003459525243572
2019-11-27,0.011322060947666522,-0.004127582215759
2019-11-28,-0.00484356992651972,-0.0034427890587137
2019-11-29,-0.021255128460382123,-0.0087453765492367
2019-12-02,-0.00508393881131676,0.0019283137931565
2019-12-03,0.0004280695044394201,0.0039104269209061
2019-12-04,0.0058300329126186,-0.0003298311528152
2019-12-05,0.011833384405700942,0.0076437976161088
2019-12-06,0.01637055086313712,0.0059189943745286
2019-12-09,-0.013405555680311503,-0.0017799805670163
2019-12-10,0.0030432165818566202,0.001264778902874
2019-12-11,-0.0037650645736661405,0.000607448568171
2019-12-12,-0.0057765089786329,-0.0030100987986116
2019-12-13,0.021077549902725624,0.0196462973780492
2019-12-16,-0.005039203041122681,0.0048593757832243
2019-12-17,0.012505357980819221,0.01351313008471
2019-12-18,-0.00791736327902086,-0.00223417286149
2019-12-19,-0.00392189031687114,-0.0013970346927766
2019-12-20,-0.0032038371426916803,-0.0024613408080187
2019-12-23,-0.00477721883029,-0.0125622397595307
2019-12-24,0.0029666939516433807,0.006497461320035
2019-12-25,-0.006857141486780819,-0.0005235582540564
2019-12-26,0.00433883830463306,0.0087615911133987
2019-12-27,0.004447581146606341,-0.0009840930612956
2019-12-30,0.00819161046605412,0.0147096681389225
2019-12-31,0.010191733268149341,0.0036560608379529
2020-01-02,0.006047409746183159,0.0134954683860877
2020-01-03,-0.012352896034307101,-0.0017548093014853
2020-01-06,0.0007144385825894797,-0.0037852372775481
2020-01-07,0.00562037197772032,0.0074624601241536
2020-01-08,-0.01318939486152326,-0.0115830150697203
2020-01-09,0.023648580255520663,0.0125776575369413
2020-01-10,0.0009264624469364396,-0.000285798345996
2020-01-13,0.011831087165092262,0.0097548689973262
2020-01-14,-0.0058464072447464,-0.0033595937187734
2020-01-15,0.004988863393679799,-0.0055429250815104
2020-01-16,-0.00712040943517856,-0.004254573343049
2020-01-17,0.0058954130657922,0.0013993443911415
2020-01-20,0.00422311215786572,0.0074286850640662
2020-01-21,-0.0035341514406100004,-0.0172338707898419
2020-01-22,0.01481738818199506,0.004273469318256
2020-01-23,-0.02597629712313764,-0.0314757240490815
2020-02-03,-0.05391851099982935,-0.0820869713028323
2020-02-04,0.030979994036997964,0.0260330462895413
2020-02-05,0.007256055436298101,0.0112659564046017
