asset,mean,std,skew,kurtosis,jb_stat,jb_pvalue,n_obs
002475,0.0010455978892181742,0.028455849997638966,0.14347241206079756,1.0124028941631864,79.38516673442878,5.777368525886725e-18,1741
600036,0.0003859273557223121,0.014687894584543672,0.24690009748572944,3.1341646864037798,724.5893464755668,4.5438353913876025e-158,1741
600276,0.0003235740965808046,0.02052088581023779,0.15644775189287094,2.619177100879939,500.57592602893214,2.001330324894919e-109,1741
600519,0.0005553751997769072,0.016562721612419472,0.22442393428879118,3.059264569838908,688.0996707876578,3.811140755734121e-150,1741
601088,0.0005504393585147692,0.011661658589130017,0.2885779209797475,3.3863320405352986,849.5218779183285,3.3780656228428714e-185,1741
HS300,0.00024284537325137794,0.012037797250441089,-0.1907454605491186,5.824119491286389,2454.1761647572735,0.0,1741
